2024-01-06 21:23:47,678 - Server is listening on 127.0.0.1:8080
2024-01-06 21:24:03,278 - Connection established with ('127.0.0.1', 52704)
2024-01-06 21:24:03,278 - Received message from ('127.0.0.1', 52704): ALIVE
2024-01-06 21:24:05,279 - Connection established with ('127.0.0.1', 52705)
2024-01-06 21:24:05,279 - Received message from ('127.0.0.1', 52705): HUMIDITY|84.84|01.06.2024:21:24:05
2024-01-06 21:24:06,284 - Connection established with ('127.0.0.1', 52706)
2024-01-06 21:24:06,284 - Received message from ('127.0.0.1', 52706): ALIVE
2024-01-06 21:24:09,299 - Connection established with ('127.0.0.1', 52707)
2024-01-06 21:24:09,300 - Received message from ('127.0.0.1', 52707): ALIVE
2024-01-06 21:24:11,309 - Connection established with ('127.0.0.1', 52708)
2024-01-06 21:24:11,310 - Received message from ('127.0.0.1', 52708): HUMIDITY|89.24|01.06.2024:21:24:11
2024-01-06 21:24:12,315 - Connection established with ('127.0.0.1', 52710)
2024-01-06 21:24:12,315 - Received message from ('127.0.0.1', 52710): ALIVE
2024-01-06 21:24:15,329 - Connection established with ('127.0.0.1', 52719)
2024-01-06 21:24:15,329 - Received message from ('127.0.0.1', 52719): ALIVE
2024-01-06 21:25:03,316 - Connection with ('127.0.0.1', 52704) closed.
2024-01-06 21:25:05,350 - Connection with ('127.0.0.1', 52705) closed.
2024-01-06 21:25:06,357 - Connection with ('127.0.0.1', 52706) closed.
2024-01-06 21:25:09,301 - Connection with ('127.0.0.1', 52707) closed.
2024-01-06 21:25:11,355 - Connection with ('127.0.0.1', 52708) closed.
2024-01-06 21:25:12,315 - Connection with ('127.0.0.1', 52710) closed.
2024-01-06 21:25:13,298 - Connection established with ('127.0.0.1', 52742)
2024-01-06 21:25:13,298 - Received message from ('127.0.0.1', 52742): HUMIDITY|83.48|01.06.2024:21:25:13
2024-01-06 21:25:15,319 - Connection established with ('127.0.0.1', 52743)
2024-01-06 21:25:15,319 - Received message from ('127.0.0.1', 52743): ALIVE
2024-01-06 21:25:15,421 - Connection with ('127.0.0.1', 52719) closed.
2024-01-06 21:25:18,334 - Connection established with ('127.0.0.1', 52745)
2024-01-06 21:25:18,335 - Received message from ('127.0.0.1', 52745): ALIVE
2024-01-06 21:25:21,348 - Connection established with ('127.0.0.1', 52747)
2024-01-06 21:25:21,348 - Received message from ('127.0.0.1', 52747): ALIVE
2024-01-06 21:25:22,354 - Connection established with ('127.0.0.1', 52749)
2024-01-06 21:25:22,354 - Received message from ('127.0.0.1', 52749): HUMIDITY|85.24|01.06.2024:21:25:22
2024-01-06 21:25:24,359 - Connection established with ('127.0.0.1', 52751)
2024-01-06 21:25:24,359 - Received message from ('127.0.0.1', 52751): ALIVE
2024-01-06 21:25:25,364 - Connection established with ('127.0.0.1', 52756)
2024-01-06 21:25:25,364 - Received message from ('127.0.0.1', 52756): HUMIDITY|88.15|01.06.2024:21:25:25
2024-01-06 21:25:27,374 - Connection established with ('127.0.0.1', 52761)
2024-01-06 21:25:27,375 - Received message from ('127.0.0.1', 52761): ALIVE
2024-01-06 21:25:30,390 - Connection established with ('127.0.0.1', 52762)
2024-01-06 21:25:30,390 - Received message from ('127.0.0.1', 52762): ALIVE
2024-01-06 21:25:31,394 - Connection established with ('127.0.0.1', 52763)
2024-01-06 21:25:31,394 - Received message from ('127.0.0.1', 52763): HUMIDITY|83.62|01.06.2024:21:25:31
2024-01-06 21:25:32,399 - Connection established with ('127.0.0.1', 52764)
2024-01-06 21:25:32,399 - Received message from ('127.0.0.1', 52764): HUMIDITY|87.67|01.06.2024:21:25:32
2024-01-06 21:25:33,404 - Connection established with ('127.0.0.1', 52765)
2024-01-06 21:25:33,407 - Received message from ('127.0.0.1', 52765): ALIVE
2024-01-06 21:25:36,417 - Connection established with ('127.0.0.1', 52767)
2024-01-06 21:25:36,418 - Received message from ('127.0.0.1', 52767): ALIVE
2024-01-06 21:25:39,433 - Connection established with ('127.0.0.1', 52768)
2024-01-06 21:25:39,433 - Received message from ('127.0.0.1', 52768): ALIVE
2024-01-06 21:25:40,437 - Connection established with ('127.0.0.1', 52769)
2024-01-06 21:25:40,438 - Received message from ('127.0.0.1', 52769): HUMIDITY|84.03|01.06.2024:21:25:40
2024-01-06 21:25:42,447 - Connection established with ('127.0.0.1', 52772)
2024-01-06 21:25:42,448 - Received message from ('127.0.0.1', 52772): ALIVE
2024-01-06 21:25:45,459 - Connection established with ('127.0.0.1', 52773)
2024-01-06 21:25:45,459 - Received message from ('127.0.0.1', 52773): ALIVE
2024-01-06 21:25:48,488 - Connection established with ('127.0.0.1', 52775)
2024-01-06 21:25:48,490 - Received message from ('127.0.0.1', 52775): ALIVE
2024-01-06 21:25:49,494 - Connection established with ('127.0.0.1', 52777)
2024-01-06 21:25:49,495 - Received message from ('127.0.0.1', 52777): HUMIDITY|84.61|01.06.2024:21:25:49
2024-01-06 21:25:50,500 - Connection established with ('127.0.0.1', 52779)
2024-01-06 21:25:50,502 - Received message from ('127.0.0.1', 52779): HUMIDITY|88.2|01.06.2024:21:25:50
2024-01-06 21:25:51,503 - Connection established with ('127.0.0.1', 52783)
2024-01-06 21:25:51,504 - Received message from ('127.0.0.1', 52783): ALIVE
2024-01-06 21:25:54,518 - Connection established with ('127.0.0.1', 52786)
2024-01-06 21:25:54,519 - Received message from ('127.0.0.1', 52786): ALIVE
2024-01-06 21:25:56,528 - Connection established with ('127.0.0.1', 52787)
2024-01-06 21:25:56,529 - Received message from ('127.0.0.1', 52787): HUMIDITY|85.67|01.06.2024:21:25:56
2024-01-06 21:25:57,533 - Connection established with ('127.0.0.1', 52788)
2024-01-06 21:25:57,534 - Received message from ('127.0.0.1', 52788): ALIVE
2024-01-06 21:26:00,548 - Connection established with ('127.0.0.1', 52789)
2024-01-06 21:26:00,548 - Received message from ('127.0.0.1', 52789): ALIVE
2024-01-06 21:26:13,323 - Connection with ('127.0.0.1', 52742) closed.
2024-01-06 21:26:15,321 - Connection with ('127.0.0.1', 52743) closed.
2024-01-06 21:26:18,343 - Connection with ('127.0.0.1', 52745) closed.
2024-01-06 21:26:21,443 - Connection with ('127.0.0.1', 52747) closed.
2024-01-06 21:26:22,354 - Connection with ('127.0.0.1', 52749) closed.
2024-01-06 21:26:24,377 - Connection with ('127.0.0.1', 52751) closed.
2024-01-06 21:26:25,366 - Connection with ('127.0.0.1', 52756) closed.
2024-01-06 21:26:27,627 - Connection with ('127.0.0.1', 52761) closed.
2024-01-06 21:26:30,479 - Connection with ('127.0.0.1', 52762) closed.
2024-01-06 21:26:31,395 - Connection with ('127.0.0.1', 52763) closed.
2024-01-06 21:26:32,405 - Connection with ('127.0.0.1', 52764) closed.
2024-01-06 21:26:33,413 - Connection with ('127.0.0.1', 52765) closed.
2024-01-06 21:26:36,420 - Connection with ('127.0.0.1', 52767) closed.
2024-01-06 21:26:39,498 - Connection with ('127.0.0.1', 52768) closed.
2024-01-06 21:26:40,502 - Connection with ('127.0.0.1', 52769) closed.
2024-01-06 21:26:42,518 - Connection with ('127.0.0.1', 52772) closed.
2024-01-06 21:26:45,460 - Connection with ('127.0.0.1', 52773) closed.
2024-01-06 21:26:48,489 - Connection with ('127.0.0.1', 52775) closed.
2024-01-06 21:26:49,496 - Connection with ('127.0.0.1', 52777) closed.
2024-01-06 21:26:50,499 - Connection with ('127.0.0.1', 52779) closed.
2024-01-06 21:26:51,542 - Connection with ('127.0.0.1', 52783) closed.
2024-01-06 21:26:54,550 - Connection with ('127.0.0.1', 52786) closed.
2024-01-06 21:26:56,530 - Connection with ('127.0.0.1', 52787) closed.
2024-01-06 21:26:57,537 - Connection with ('127.0.0.1', 52788) closed.
2024-01-06 21:27:00,638 - Connection with ('127.0.0.1', 52789) closed.
2024-01-06 21:28:56,821 - Server is listening on 127.0.0.1:8080
2024-01-06 21:29:27,575 - Connection established with ('127.0.0.1', 52969)
2024-01-06 21:29:27,576 - Received message from ('127.0.0.1', 52969): ALIVE
2024-01-06 21:29:30,587 - Connection established with ('127.0.0.1', 52970)
2024-01-06 21:29:30,588 - Received message from ('127.0.0.1', 52970): ALIVE
2024-01-06 21:30:02,798 - Connection established with ('127.0.0.1', 52985)
2024-01-06 21:30:02,799 - Received message from ('127.0.0.1', 52985): HUMIDITY|83.95|01.06.2024:21:30:02
2024-01-06 21:30:03,802 - Connection established with ('127.0.0.1', 52987)
2024-01-06 21:30:03,802 - Received message from ('127.0.0.1', 52987): ALIVE
2024-01-06 21:30:06,815 - Connection established with ('127.0.0.1', 52991)
2024-01-06 21:30:06,815 - Received message from ('127.0.0.1', 52991): ALIVE
2024-01-06 21:30:27,556 - Connection with ('127.0.0.1', 52969) closed.
2024-01-06 21:30:30,566 - Connection with ('127.0.0.1', 52970) closed.
2024-01-06 21:30:49,702 - Connection established with ('127.0.0.1', 53003)
2024-01-06 21:30:49,702 - Received message from ('127.0.0.1', 53003): HUMIDITY|82.38|01.06.2024:21:30:49
2024-01-06 21:30:51,711 - Connection established with ('127.0.0.1', 53006)
2024-01-06 21:30:51,711 - Received message from ('127.0.0.1', 53006): ALIVE
2024-01-06 21:30:54,726 - Connection established with ('127.0.0.1', 53010)
2024-01-06 21:30:54,726 - Received message from ('127.0.0.1', 53010): ALIVE
2024-01-06 21:30:55,731 - Connection established with ('127.0.0.1', 53011)
2024-01-06 21:30:55,731 - Received message from ('127.0.0.1', 53011): HUMIDITY|84.29|01.06.2024:21:30:55
2024-01-06 21:31:02,792 - Connection with ('127.0.0.1', 52985) closed.
2024-01-06 21:31:03,800 - Connection with ('127.0.0.1', 52987) closed.
2024-01-06 21:31:06,807 - Connection with ('127.0.0.1', 52991) closed.
2024-01-06 21:31:49,759 - Connection with ('127.0.0.1', 53003) closed.
2024-01-06 21:31:51,787 - Connection with ('127.0.0.1', 53006) closed.
2024-01-06 21:31:54,812 - Connection with ('127.0.0.1', 53010) closed.
2024-01-06 21:31:55,731 - Connection with ('127.0.0.1', 53011) closed.
2024-01-06 21:31:58,552 - Connection established with ('127.0.0.1', 53038)
2024-01-06 21:31:58,552 - Received message from ('127.0.0.1', 53038): HUMIDITY|86.69|01.06.2024:21:31:58
2024-01-06 21:32:00,562 - Connection established with ('127.0.0.1', 53039)
2024-01-06 21:32:00,562 - Received message from ('127.0.0.1', 53039): ALIVE
2024-01-06 21:32:02,572 - Connection established with ('127.0.0.1', 53040)
2024-01-06 21:32:02,572 - Received message from ('127.0.0.1', 53040): HUMIDITY|80.89|01.06.2024:21:32:02
2024-01-06 21:32:03,577 - Connection established with ('127.0.0.1', 53041)
2024-01-06 21:32:03,577 - Received message from ('127.0.0.1', 53041): ALIVE
2024-01-06 21:32:05,588 - Connection established with ('127.0.0.1', 53043)
2024-01-06 21:32:05,588 - Received message from ('127.0.0.1', 53043): HUMIDITY|82.36|01.06.2024:21:32:05
2024-01-06 21:32:06,593 - Connection established with ('127.0.0.1', 53044)
2024-01-06 21:32:06,593 - Received message from ('127.0.0.1', 53044): ALIVE
2024-01-06 21:32:09,608 - Connection established with ('127.0.0.1', 53046)
2024-01-06 21:32:09,608 - Received message from ('127.0.0.1', 53046): ALIVE
2024-01-06 21:32:12,623 - Connection established with ('127.0.0.1', 53047)
2024-01-06 21:32:12,624 - Received message from ('127.0.0.1', 53047): ALIVE
2024-01-06 21:32:15,639 - Connection established with ('127.0.0.1', 53049)
2024-01-06 21:32:15,639 - Received message from ('127.0.0.1', 53049): ALIVE
2024-01-06 21:32:18,653 - Connection established with ('127.0.0.1', 53052)
2024-01-06 21:32:18,654 - Received message from ('127.0.0.1', 53052): ALIVE
2024-01-06 21:32:19,658 - Connection established with ('127.0.0.1', 53053)
2024-01-06 21:32:19,659 - Received message from ('127.0.0.1', 53053): HUMIDITY|86.74|01.06.2024:21:32:19
2024-01-06 21:32:20,664 - Connection established with ('127.0.0.1', 53054)
2024-01-06 21:32:20,664 - Received message from ('127.0.0.1', 53054): HUMIDITY|89.46|01.06.2024:21:32:20
2024-01-06 21:32:21,669 - Connection established with ('127.0.0.1', 53055)
2024-01-06 21:32:21,669 - Received message from ('127.0.0.1', 53055): ALIVE
2024-01-06 21:32:24,680 - Connection established with ('127.0.0.1', 53056)
2024-01-06 21:32:24,681 - Received message from ('127.0.0.1', 53056): ALIVE
2024-01-06 21:32:25,685 - Connection established with ('127.0.0.1', 53059)
2024-01-06 21:32:25,686 - Received message from ('127.0.0.1', 53059): HUMIDITY|85.57|01.06.2024:21:32:25
2024-01-06 21:32:27,694 - Connection established with ('127.0.0.1', 53061)
2024-01-06 21:32:27,694 - Received message from ('127.0.0.1', 53061): ALIVE
2024-01-06 21:32:30,709 - Connection established with ('127.0.0.1', 53069)
2024-01-06 21:32:30,710 - Received message from ('127.0.0.1', 53069): ALIVE
2024-01-06 21:32:31,714 - Connection established with ('127.0.0.1', 53070)
2024-01-06 21:32:31,714 - Received message from ('127.0.0.1', 53070): HUMIDITY|86.81|01.06.2024:21:32:31
2024-01-06 21:32:50,805 - Connection established with ('127.0.0.1', 53075)
2024-01-06 21:32:50,807 - Received message from ('127.0.0.1', 53075): HUMIDITY|80.23|01.06.2024:21:32:50
2024-01-06 21:32:51,810 - Connection established with ('127.0.0.1', 53076)
2024-01-06 21:32:51,811 - Received message from ('127.0.0.1', 53076): ALIVE
2024-01-06 21:32:58,766 - Connection with ('127.0.0.1', 53038) closed.
2024-01-06 21:33:00,563 - Connection with ('127.0.0.1', 53039) closed.
2024-01-06 21:33:02,643 - Connection with ('127.0.0.1', 53040) closed.
2024-01-06 21:33:03,651 - Connection with ('127.0.0.1', 53041) closed.
2024-01-06 21:33:05,620 - Connection with ('127.0.0.1', 53043) closed.
2024-01-06 21:33:06,594 - Connection with ('127.0.0.1', 53044) closed.
2024-01-06 21:33:09,706 - Connection with ('127.0.0.1', 53046) closed.
2024-01-06 21:33:12,715 - Connection with ('127.0.0.1', 53047) closed.
2024-01-06 21:33:15,711 - Connection with ('127.0.0.1', 53049) closed.
2024-01-06 21:33:18,682 - Connection with ('127.0.0.1', 53052) closed.
2024-01-06 21:33:19,659 - Connection with ('127.0.0.1', 53053) closed.
2024-01-06 21:33:20,670 - Connection with ('127.0.0.1', 53054) closed.
2024-01-06 21:33:21,670 - Connection with ('127.0.0.1', 53055) closed.
2024-01-06 21:33:24,715 - Connection with ('127.0.0.1', 53056) closed.
2024-01-06 21:33:25,685 - Connection with ('127.0.0.1', 53059) closed.
2024-01-06 21:33:27,745 - Connection with ('127.0.0.1', 53061) closed.
2024-01-06 21:33:30,773 - Connection with ('127.0.0.1', 53069) closed.
2024-01-06 21:33:31,782 - Connection with ('127.0.0.1', 53070) closed.
